planet height weight number_of_eyes is_humanoid has_physical_body aggression_level speaks_english species
A 188.041494655353 81.7260743167555 2 TRUE TRUE 2 TRUE a1
A 177.839831528257 85.2286057376301 2 TRUE TRUE 0 TRUE a1
A 187.509606737661 27.9198576110233 2 TRUE TRUE 0 TRUE a1
A 174.789512963556 71.4443674914715 2 TRUE TRUE 0 TRUE a1
A 182.700055135329 89.6288940917716 2 TRUE TRUE 2 TRUE a1
A 171.928379176064 56.11090083647 2 TRUE TRUE 2 TRUE a1
A 171.75666988984 30.3492652042667 2 TRUE TRUE 2 TRUE a1
A 178.045545314519 61.9694022450227 2 TRUE TRUE 1 TRUE a1
A 173.15388474576 65.9064521286809 2 TRUE TRUE 0 TRUE a1
A 188.202394345888 74.2845232830884 2 TRUE TRUE 1 TRUE a1
A 180.530993518364 78.8418671840483 2 TRUE TRUE 1 TRUE a1
A 178.038636522472 65.9881905661431 2 TRUE TRUE 2 TRUE a1
A 179.846529718261 115.416120386572 2 TRUE TRUE 2 TRUE a1
A 184.147564657066 111.854979508326 2 TRUE TRUE 2 TRUE a1
A 177.450371712591 64.8911872260365 2 TRUE TRUE 1 TRUE a1
A 182.68572207211 96.8393766699156 2 TRUE TRUE 1 TRUE a1
A 183.61762519791 76.2535214290148 2 TRUE TRUE 2 TRUE a1
A 179.469736768309 65.3912175663956 2 TRUE TRUE 1 TRUE a1
A 180.058435914553 46.5702470373787 2 TRUE TRUE 1 TRUE a1
A 175.497244562769 66.374325840569 2 TRUE TRUE 0 TRUE a1
B 150.134182835122 60.3816626551733 3 TRUE TRUE 7 TRUE b1
B 154.358264852939 58.5608520872431 3 TRUE TRUE 5 TRUE b1
B 152.96390277061 54.7426819490709 3 TRUE TRUE 8 TRUE b1
B 151.46479004102 52.3658493893743 3 TRUE TRUE 10 TRUE b1
B 150.317545502026 55.0286677246976 3 TRUE TRUE 7 TRUE b1
B 145.211318927835 59.4728780127096 3 TRUE TRUE 9 TRUE b1
B 149.256071935328 59.6012161880733 3 TRUE TRUE 10 TRUE b1
B 150.841939136039 57.3063577510828 3 TRUE TRUE 9 TRUE b1
B 146.486479089439 46.0543499570688 3 TRUE TRUE 10 TRUE b1
B 144.662025547094 69.8926225056804 3 TRUE TRUE 7 TRUE b1
B 158.758326133205 48.5686317859719 3 TRUE TRUE 10 TRUE b1
B 148.561860936923 58.2959115947808 3 TRUE TRUE 7 TRUE b1
B 148.360222323359 59.8034717578867 3 TRUE TRUE 7 TRUE b1
B 146.031447267999 45.6745745538976 3 TRUE TRUE 6 TRUE b1
B 144.730041912187 62.564865442086 3 TRUE TRUE 6 TRUE b1
B 150.43317576693 47.5242712208305 3 TRUE TRUE 5 TRUE b1
B 149.688345605802 48.4193969284193 3 TRUE TRUE 7 TRUE b1
B 49.4255584570758 27.4361261696222 1 FALSE TRUE 6 TRUE b2
B 54.3438027437819 28.4676439807671 1 FALSE TRUE 6 TRUE b2
B 52.3871015646868 29.5650080047576 1 FALSE TRUE 10 TRUE b2
B 47.6599719933335 30.7060964970409 1 FALSE TRUE 11 TRUE b2
B 50.5482065257272 26.7530449314984 1 FALSE TRUE 8 TRUE b2
B 56.2103673025233 28.7568731679485 1 FALSE TRUE 8 TRUE b2
B 47.6023578114215 33.27846101313 1 FALSE TRUE 10 TRUE b2
B 52.1346381193371 27.9379158399023 1 FALSE TRUE 9 TRUE b2
B 47.9288377264009 33.2375550703423 1 FALSE TRUE 6 TRUE b2
B 52.7918195131638 29.46831962603 1 FALSE TRUE 10 TRUE b2
B 55.4974409015209 27.6893196185266 1 FALSE TRUE 11 TRUE b2
C 220.61444272226 88.0895632950312 2 FALSE TRUE 1 TRUE c1
C 213.90599634844 103.38185505205 2 FALSE TRUE 0 TRUE c1
C 214.408354664529 106.04465974972 2 FALSE TRUE 0 TRUE c1
C 213.685056075739 105.348958789349 2 FALSE TRUE 0 TRUE c1
C 219.318751279188 103.495013382776 2 FALSE TRUE 2 TRUE c1
C 207.373947722174 105.121125642845 2 FALSE TRUE 2 TRUE c1
C 219.449085623128 91.7539891558523 2 FALSE TRUE 1 TRUE c1
C 221.305019667394 105.406489311117 2 FALSE TRUE 0 TRUE c1
C 218.819678435788 94.3180407293207 2 FALSE TRUE 1 TRUE c1
C 215.003506780318 96.0851933957821 2 FALSE TRUE 0 TRUE c1
C 214.436198977809 88.6926206963857 2 FALSE TRUE 3 TRUE c1
C 208.994333630687 92.0184114497843 2 FALSE TRUE 2 TRUE c1
C 205.155071302176 103.587560654591 2 FALSE TRUE 3 TRUE c1
C 199.945844470341 91.6003550528451 2 FALSE TRUE 2 TRUE c1
C 210.602613927439 116.201264412936 2 FALSE TRUE 1 TRUE c1
C 200.283280826293 93.1339671462778 2 FALSE TRUE 0 TRUE c1
D 0 0 0 FALSE FALSE 0 TRUE d1
D 0 0 0 FALSE FALSE 0 TRUE d1
D 0 0 0 FALSE FALSE 0 TRUE d1
D 0 0 0 FALSE FALSE 0 TRUE d1
D 0 0 0 FALSE FALSE 0 TRUE d1
D 0 0 0 FALSE FALSE 0 TRUE d1
D 0 0 0 FALSE FALSE 0 TRUE d1
D 0 0 0 FALSE FALSE 0 TRUE d1
D 0 0 0 FALSE FALSE 0 TRUE d1
D 0 0 0 FALSE FALSE 0 TRUE d1
E 188.217614047072 85.4814734856564 2 TRUE TRUE 1 TRUE e1
E 87.512207329538 107.947417986007 2 TRUE TRUE 0 TRUE e1
E 223.44894487161 72.5911623804613 2 TRUE TRUE 0 TRUE e1
E 138.016606667367 99.2753850367437 1 TRUE TRUE 2 TRUE e1
E 176.959002041795 130.874792948995 2 TRUE TRUE 1 TRUE e1
E 165.852222520499 84.3956479333206 2 TRUE TRUE 1 TRUE e1
E 195.008275874128 136.553982250215 2 TRUE TRUE 2 TRUE e1
E 152.19494478649 87.9142971437107 2 TRUE TRUE 2 TRUE e1
E 185.429075395148 61.219897074887 2 TRUE TRUE 3 TRUE e1
E 130.112157173419 73.5573139293306 2 TRUE TRUE 0 TRUE e1
E 236.558227488017 105.508893101341 2 TRUE TRUE 3 TRUE e1
E 187.622399312319 130.382435525576 2 TRUE TRUE 3 TRUE e1
E 172.422303487709 64.5666257024282 2 TRUE TRUE 0 TRUE e1
E 184.825198199396 93.2068169876963 2 TRUE TRUE 0 TRUE e1
E 116.281354674303 83.3890921659332 2 TRUE TRUE 3 TRUE e1
